pname,pmass,pradius
WASP-19 b,339.75813199999993,15.602927999999999
WASP-10 b,1001.1581999999999,12.10572
WTS-1 b,1274.4902799999998,16.70141
HATS-62 b,56.891211999999996,11.825494999999998
WASP-118 b,163.36359199999998,16.14096
WASP-93 b,467.20715999999993,17.900772999999997
HATS-34 b,299.07614799999993,16.028869999999998
HATS-59 b,256.169368,12.621334
HATS-54 b,241.54927999999998,11.960002999999999
CoRoT-17 b,772.32204,11.43318
KOI-94 d,106.154552,11.265044999999999
Kepler-106 d,8.10143572,0.9527650000000001
Kepler-107 c,9.388639119999999,1.5916779999999997
Kepler-8 b,187.51851999999997,15.871944
Kepler-47 c,3.16874516,4.6517349999999995
Kepler-59 b,651.5473999999999,1.098482
HATS-13 b,172.580604,13.585308
OGLE-TR-182 b,321.00628,12.66617
WASP-17 b,247.90583999999998,20.96083
WASP-50 b,466.8257664,13.069693999999998
Kepler-462 c,6.00059264,4.001613
WASP-105 b,572.0903999999999,10.760639999999999
HATS-28 b,213.58041599999999,13.383545999999999
K2-38 b,19.069679999999998,1.9055300000000002
XO-6 b,1398.4432,23.20263
TIC 237913194 b,617.2219759999999,12.520453
HAT-P-33 b,292.40175999999997,20.73665
Kepler-99 b,6.0387319999999995,1.4795880000000001
TrES-4 b,247.90583999999998,18.046490000000002
WASP-119 b,390.92843999999997,15.692599999999999
HATS-48 A b,77.232204,8.9672
TOI-216.02,29.99978492,7.689374
HATS-27 b,168.44884,16.813499999999998
HAT-P-34 b,1058.36724,13.417173
Kepler-109 c,21.79982252,2.522025
Kepler-462 b,53.90045051999999,3.004012
Kepler-223 c,5.101139399999999,3.441163
KELT-2 A b,540.3076,15.132150000000001
HATS-14 b,340.393788,11.646150999999998
Kepler-80 e,4.128585719999999,1.6028869999999997
Kepler-422 b,136.66603999999998,12.890349999999998
WASP-3 b,772.32204,15.91678
WASP-132 b,130.30947999999998,9.75183
TOI-169 b,251.401948,12.172974
Kepler-1656 b,48.59907947999999,5.021632
WASP-159 b,174.8054,15.468419999999998
HD 219666 b,16.60015644,4.70778
Kepler-411 d,15.19853496,3.3178639999999997
EPIC 249893012 d,10.18003084,3.9455679999999997
NGTS-12 b,66.10822399999999,11.747032
HIP 65426 b,2860.4519999999998,16.813499999999998
CoRoT-16 b,170.03798,13.114529999999998
Kepler-74 b,200.23164,10.760639999999999
Kepler-426 b,108.06152,12.21781
WASP-31 b,151.92178399999997,17.362741
WASP-43 b,565.73384,10.42437
WASP-75 b,340.07596,14.23543
XO-2 N b,179.89064799999997,11.130537
HD 23472 b,17.919142639999997,1.871903
CoRoT-31 b,266.97551999999996,16.36514
WASP-184 b,181.16195999999997,14.90797
WASP-150 b,2688.82488,11.99363
HD 2685 b,371.85875999999996,16.14096
TOI-481 b,486.27684,11.09691
GJ 436 b,22.24796,4.169748
Kepler-122 f,35.914564,1.748604
Kepler-76 b,638.8342799999999,15.244240000000001
K2-29 b,232.01443999999998,13.338709999999999
Kepler-307 c,3.6391305999999997,2.196964
Qatar-2 b,792.663032,14.056085999999999
WASP-39 b,88.99184,14.23543
WASP-97 b,432.24608,12.778259999999998
WASP-169 b,178.301508,14.616536
WASP-185 b,311.47144,14.01125
WASP-144 b,139.84431999999998,9.52765
HD 80653 b,5.6001293599999995,1.6140959999999998
HAT-P-14 b,1093.3283199999998,15.91678
Kepler-75 b,3210.0627999999997,11.76945
HAT-P-11 b,23.39849736,4.360301
Kepler-11 d,7.3100439999999995,3.116102
Kepler-48 b,3.9410671999999995,1.8831120000000001
KOI-55 c,0.6674387999999999,0.863093
WASP-35 b,225.65787999999998,14.5717
WASP-45 b,306.38619199999994,10.603713999999998
WASP-80 b,170.991464,11.197791
WASP-71 b,441.7809199999999,13.226619999999999
GJ 143 b,22.69927576,2.611697
K2-266 e,14.29908172,2.7349959999999998
WASP-141 b,854.9573199999999,13.56289
pi Men c,4.821450759999999,2.040038
HATS-26 b,206.5882,19.61575
TOI-837 b,381.39359999999994,8.63093
HAT-P-44 b,111.87545599999999,13.921578
Kepler-24 b,508.52479999999997,2.398726
Kepler-95 b,13.030947999999999,3.418745
HAT-P-7 b,584.8035199999999,16.92559
Kepler-277 b,87.4027,2.925549
Kepler-414 c,29.875832,3.015221
WASP-47 d,13.10087016,3.575671
