pname,pmass,pradius,smass,steff
Qatar-2 b,792.663032,14.056085999999999,0.74,4645.0
WASP-39 b,88.99184,14.23543,0.93,5400.0
WASP-97 b,432.24608,12.778259999999998,1.18,5640.0
WASP-169 b,178.301508,14.616536,1.34,6110.0
WASP-185 b,311.47144,14.01125,1.12,5900.0
WASP-144 b,139.84431999999998,9.52765,0.81,5200.0
HAT-P-14 b,1093.3283199999998,15.91678,2.65,6600.0
Kepler-75 b,3210.0627999999997,11.76945,0.91,5200.0
HAT-P-11 b,23.39849736,4.360301,0.81,4780.0
Kepler-11 d,7.3100439999999995,3.116102,0.96,5663.0
Kepler-48 b,3.9410671999999995,1.8831120000000001,0.88,5194.0
KOI-55 c,0.6674387999999999,0.863093,0.5,27730.0
WASP-35 b,225.65787999999998,14.5717,1.05,5990.0
WASP-45 b,306.38619199999994,10.603713999999998,0.85,5150.0
WASP-80 b,170.991464,11.197791,0.58,4143.0
WASP-71 b,441.7809199999999,13.226619999999999,0.76,6050.0
GJ 143 b,22.69927576,2.611697,0.73,4640.0
K2-266 e,14.29908172,2.7349959999999998,0.69,4285.0
WASP-141 b,854.9573199999999,13.56289,1.25,5900.0
pi Men c,4.821450759999999,2.040038,1.09,6037.0
HATS-26 b,206.5882,19.61575,1.3,6071.0
TOI-837 b,381.39359999999994,8.63093,1.12,6047.0
HAT-P-44 b,111.87545599999999,13.921578,0.94,5295.0
Kepler-95 b,13.030947999999999,3.418745,1.08,5699.0
HAT-P-7 b,584.8035199999999,16.92559,1.56,6389.0
WASP-47 d,13.10087016,3.575671,1.04,5552.0
WASP-21 b,95.34839999999998,11.99363,0.89,5800.0
WASP-55 b,193.87507999999997,14.90797,1.11,5900.0
KPS-1 b,346.43252,11.54527,0.89,5165.0
CoRoT-9 b,266.97551999999996,11.948794,0.96,5625.0
HAT-P-29 b,279.68863999999996,13.114529999999998,1.45,6087.0
HAT-P-28 b,198.96032799999998,13.585308,1.02,5680.0
HAT-P-39 b,190.37897199999998,17.609339,1.4,6430.0
WASP-49 b,117.59635999999999,12.44199,0.92,5600.0
WASP-160 B b,88.356184,12.21781,0.87,5298.0
Qatar-7 b,597.5166399999999,19.0553,1.41,6387.0
WASP-120 b,1541.4657999999997,16.510857,1.39,6450.0
LHS 1140 b,6.979502879999999,1.726186,0.18,3216.0
HATS-6 b,101.387132,11.186582,0.57,3724.0
HD 189733 b,359.14563999999996,12.66617,0.79,5052.0
KOI-94 c,15.573571999999999,4.315465,1.28,6182.0
WASP-90 b,200.23164,18.27067,1.55,6430.0
Kepler-62 c,4.1317639999999995,0.538032,0.69,4925.0
KELT-10 b,215.805212,15.681391,1.11,5948.0
HD 219134 c,4.36060016,1.513215,0.81,4699.0
TOI-125 b,9.499878919999999,2.7237869999999997,0.86,5320.0
HATS-47 b,117.27853199999998,12.520453,0.67,4512.0
WASP-85 A b,402.0524199999999,13.89916,1.09,6112.0
HATS-32 b,292.40175999999997,14.000041000000001,1.1,5700.0
